key,instantiation_moment,start_display_period,end_display_period,picture_link,slogan,web_link
banner-32,2020/01/01 11:00,2021/06/01 11:00,2023/12/31 00:00,https://www.winecountrylifevacationhomes.com/wp-content/themes/wineBF22/images/slider-inner.jpg,Example slogan,https://github.com/IsmaelRuizJurado/Acme-SF-D02
banner-33,2020/01/01 11:00,2022/06/01 11:00,2022/09/01 11:00,https://www.winecountrylifevacationhomes.com/wp-content/themes/wineBF22/images/slider-inner.jpg,S,https://github.com/IsmaelRuizJurado/Acme-SF-D02
banner-34,2020/01/01 11:00,2022/06/01 11:00,2022/09/01 11:00,https://www.winecountrylifevacationhomes.com/wp-content/themes/wineBF22/images/slider-inner.jpg,Sl,https://github.com/IsmaelRuizJurado/Acme-SF-D02
banner-35,2020/01/01 11:00,2022/06/01 11:00,2022/09/01 11:00,https://www.winecountrylifevacationhomes.com/wp-content/themes/wineBF22/images/slider-inner.jpg,El mensaje tiene setenta y cuatro caracteres valida cadenas de longitud75.,https://github.com/IsmaelRuizJurado/Acme-SF-D02
banner-36,2020/01/01 11:00,2022/06/01 11:00,2022/09/01 11:00,https://gns.wisc.edu/wp-content/uploads/2020/03/Folklore-Course-Page-Banner.jpg,Este mensaje tiene setenta y cinco caracteres se usa para validar mensajes.,https://github.com/IsmaelRuizJurado/Acme-SF-D02
banner-37,2020/01/01 11:00,2022/06/01 11:00,2022/09/01 11:00,https://gns.wisc.edu/wp-content/uploads/2020/03/Folklore-Course-Page-Banner.jpg,თხა,https://github.com/IsmaelRuizJurado/Acme-SF-D02
banner-38,2020/01/01 11:00,2022/06/01 11:00,2022/09/01 11:00,https://gns.wisc.edu/wp-content/uploads/2020/03/Folklore-Course-Page-Banner.jpg,коза,https://github.com/IsmaelRuizJurado/Acme-SF-D02
banner-39,2020/01/01 11:00,2022/06/01 11:00,2022/09/01 11:00,https://gns.wisc.edu/wp-content/uploads/2020/03/Folklore-Course-Page-Banner.jpg,"<script>alert(""hi!"")</script>",https://github.com/IsmaelRuizJurado/Acme-SF-D02
banner-40,2020/01/01 11:00,2022/06/01 11:00,2022/09/01 11:00,https://gns.wisc.edu/wp-content/uploads/2020/03/Folklore-Course-Page-Banner.jpg,<h1>Hola Mundo!</h1>,https://github.com/IsmaelRuizJurado/Acme-SF-D02
banner-41,2020/01/01 11:00,2022/06/01 11:00,2022/09/01 11:00,https://gns.wisc.edu/wp-content/uploads/2020/03/Folklore-Course-Page-Banner.jpg,Slogan,ftp://user:pass@acme.org
